AG53DBO,Mercedes,1000,(255:0:0),4
MD17WBW,Volkswagen,2300,(0:0:255),5
ED03HSH,Toyota,2000,(0:0:255),4
OH01AYO,Honda,1300,(0:255:0),3
WE07CND,Nissan,2000,(0:255:0),3
NF02FMC,Mercedes,1200,(0:0:255),5
PM16DNO,Volkswagen,1300,(255:0:0),5
MA53OKB,Honda,1400,(0:0:0),4
VV64BHH,Honda,1600,(0:0:255),5
ER53EVW,Ford,2000,(0:0:255),3
HW02PNM,Mini,1600,(255:255:255),4
BE16HRW,Toyota,1000,(255:0:0),4
CY14FLW,Mercedes,1100,(255:255:255),3
GE59GRD,Mercedes,1600,(255:255:255),4
ED17MSY,Mini,1100,(255:255:255),3
SF14DEF,Mercedes,2000,(255:255:255),4
YD05MMW,Volkswagen,1000,(0:255:0),3
YW62ADV,Honda,1200,(0:255:0),4
PP66OPB,BMW,2000,(0:255:0),3
LH59MDA,Mercedes,1200,(0:255:0),5
VD59NOM,Vauxhall,2000,(255:255:255),4
ON58BHO,Mini,2300,(0:255:0),3
ES60HVG,Mercedes,1100,(0:255:0),4
PA14BFO,BMW,1400,(0:0:255),4
EA55WEF,Mercedes,2300,(255:255:255),4
EV58AHD,Volkswagen,1000,(0:0:255),3
MV11GSP,Ford,1000,(255:0:0),3
LD60EKA,Volkswagen,1300,(0:0:0),4
YR62PHV,Vauxhall,2000,(255:0:0),3
GD53FKE,Ford,1100,(255:255:255),5
LF56FGH,Mini,2300,(255:0:0),3
RO03LSW,Toyota,1200,(255:255:255),3
RY12FWB,Mini,1200,(255:0:0),4
CG02EFW,Mercedes,1600,(0:0:0),4
GG08EVV,Toyota,1200,(0:0:255),4
GW59VNY,Nissan,1400,(0:0:0),4
HL04FOH,Ford,1000,(255:255:255),3
KN13BLY,Nissan,2000,(0:0:0),4
SA60GVR,Nissan,1000,(255:0:0),4
WN06YCB,Vauxhall,2300,(0:0:0),4
AM10BMA,Mercedes,1400,(0:0:0),4
DB15DKS,Ford,1300,(255:0:0),3
YN16KPG,BMW,1100,(0:255:0),4
RS05KWW,Volkswagen,1100,(255:0:0),4
RO10LBV,Volkswagen,1200,(255:0:0),4
OG04OLR,Volkswagen,1400,(0:255:0),4
AC53YKW,Vauxhall,1200,(255:255:255),4
CN64KLC,BMW,1400,(0:255:0),3
DS61GCK,Volkswagen,2000,(255:0:0),5
EB53CAD,Vauxhall,1300,(255:255:255),4
SG51LBL,BMW,2300,(0:0:255),5
AB59DOR,Vauxhall,1000,(255:255:255),3
EP52HLL,Mercedes,2300,(255:0:0),4
CF17YCG,Nissan,1300,(0:0:0),5
OF62AWP,Ford,1400,(0:0:255),5
CC17VYO,Ford,1100,(0:0:255),4
GH56FPE,Nissan,1600,(0:0:255),4
LG55APV,Mercedes,1100,(0:0:0),5
EM53RMC,Toyota,2000,(255:255:255),5
FD60VOY,Mini,1600,(255:255:255),4
ER54CRC,BMW,1300,(255:0:0),4
NK65EHM,Mini,1200,(0:255:0),3
OB15RYH,BMW,2000,(0:255:0),5
AH53GVW,Ford,1100,(255:0:0),4
PS66SYY,Vauxhall,1400,(0:0:0),4
YR55YRG,Mini,1100,(0:255:0),5
RR56HMK,Volkswagen,1000,(0:255:0),4
WK06OEL,BMW,1200,(0:0:0),5
PM15WYM,Volkswagen,1200,(255:255:255),4
DN63YKL,Toyota,1600,(0:255:0),3
PA51EOE,Honda,2300,(0:255:0),4
DB65DKN,Toyota,2000,(0:0:0),4
NC60NPN,Volkswagen,2000,(255:0:0),4
PR53WKC,Vauxhall,1400,(255:255:255),5
HK52SHW,Vauxhall,1100,(255:255:255),4
SF57DGE,Volkswagen,1100,(0:0:0),5
NF64YPY,Vauxhall,1200,(0:0:255),5
ON59OWO,Volkswagen,2000,(0:255:0),4
AV16CFH,Mini,1600,(255:0:0),5
BY52GSG,Toyota,1100,(255:255:255),5
NE15CHK,Volkswagen,1600,(255:0:0),3
OE61BKW,Mercedes,2000,(255:0:0),3
HE56DCD,Vauxhall,2300,(0:255:0),4
DW17YWW,Volkswagen,2300,(0:0:255),3
MD61SKH,Volkswagen,1300,(0:0:255),3
WM62DOL,Nissan,1400,(0:0:255),4
KF52LNC,BMW,2000,(0:255:0),4
AY08HSG,Toyota,1000,(0:0:0),5
CS13NWE,Volkswagen,1100,(255:255:255),5
DC57DLA,Mini,1100,(255:255:255),5
ED08FVG,Volkswagen,2000,(255:255:255),4
CM05GVV,Nissan,1000,(0:0:0),5
OH09FKN,Toyota,1100,(255:0:0),5
RH02DSE,Ford,1200,(255:255:255),3
HG66GNC,Toyota,1300,(0:255:0),4
AK52NEA,Mini,2000,(255:0:0),3
DR57AKV,Volkswagen,1200,(0:0:0),5
KK54NCL,Toyota,1300,(0:255:0),3
FG16SKP,Volkswagen,1600,(0:255:0),5
VF13LHO,Nissan,1100,(0:255:0),3
VM15LNW,Mercedes,1300,(0:255:0),3
LN64DKV,BMW,1100,(0:255:0),4
PB12WDY,Toyota,1000,(0:0:0),3
NA10HHK,Toyota,1600,(255:0:0),3
MM64RBY,Ford,1200,(0:0:0),5
LA15KBK,Honda,1300,(0:0:255),5
LL16EBF,Mini,1300,(0:255:0),3
LF07RWG,Mini,1300,(255:0:0),4
VC16AMN,Nissan,1400,(0:0:255),4
AV52GSW,Ford,1400,(255:255:255),3
PE13FBP,Vauxhall,1400,(0:0:0),3
PV15AGL,Honda,1100,(0:0:0),4
AV57PED,Volkswagen,1600,(255:255:255),5
BD04YBF,Toyota,1400,(255:0:0),5
EW12PVE,Vauxhall,2300,(255:0:0),5
OM53VOS,Nissan,1600,(255:255:255),3
MG52GCM,Honda,1000,(0:0:0),4
EF17FEB,Mini,1200,(255:0:0),3
OL56VBP,Toyota,1300,(0:0:255),5
GH63WEP,Mercedes,1200,(255:0:0),4
ED08AOM,Mini,1100,(0:0:255),4
LN58LBH,Toyota,1400,(0:0:255),5
DP55GSN,Honda,1100,(0:255:0),4
MW66KVE,Toyota,1100,(0:255:0),5
DL65KAN,Ford,1400,(0:0:255),5
AS53CPV,Ford,1400,(0:0:0),4
BY04KDL,Mercedes,1400,(0:0:0),3
EW55WYD,BMW,2000,(255:255:255),5
DD57YOF,Volkswagen,2000,(0:0:0),5
KG11DBE,Volkswagen,1000,(255:255:255),5
HW06PWC,Vauxhall,1000,(0:0:0),3
RV08MYC,Mini,1300,(0:255:0),3
SD51VON,Honda,1000,(255:255:255),4
HS01NRM,Mercedes,1300,(0:255:0),4
CL10ORC,Mini,1600,(0:255:0),5
LM11HWP,Volkswagen,2000,(255:255:255),5
OB08CLN,Vauxhall,1300,(0:0:255),4
WE02DLM,Toyota,1000,(0:0:255),3
WS01EOL,Volkswagen,1300,(0:0:255),5
VW56YWF,Mercedes,1100,(0:0:255),5
CP53CYK,Nissan,2000,(255:0:0),3
CV12DDH,Toyota,2300,(255:255:255),4
SB11CKP,Nissan,1600,(0:255:0),3
PF09LVB,Honda,1400,(0:0:255),5
